CatalogNumber,Item Name,CAS Number,Plate Location,Rack Number,M.w.,Solvent ,Formula,SMILES,Solubility,Form,Pathway,Target,Information,URL
A1402,Gemcitabine HCl,122111-03-9,B03,L1021-01,299.66,DMSO,C9H11F2N3O4·HCI,C1=CN(C(=O)N=C1N)[[C@H]2C([[C@@H]([[C@H](O2)CO)O)(F)F,≥10.1 mg/mL in H2O with ultrasonic; ≥2.64 mg/mL in EtOH with gentle warming and ultrasonic; ≥7.49 mg/mL in H2O ,Hydrochloride,DNA Damage/DNA Repair,DNA Synthesis,"Inhibits DNA synthesis,deoxycytidine analog",https://www.apexbt.com/search.php?catalog=A1402
A1404,Rigosertib sodium salt,1225497-78-8,B04,L1021-01,473.47,DMSO,C21H24NNaO8S,COC1=C(C=C(C=C1)CS(=O)(=O)C=CC2=C(C=C(C=C2OC)OC)OC)NCC(=O)[O-].[Na+],≥23.65 mg/mL in DMSO; insoluble in EtOH; ≥52.3 mg/mL in H2O ,Sodium Salt,Cell Cycle/Checkpoint,PLK,Plk1 inhibitor,https://www.apexbt.com/search.php?catalog=A1404
A1412,Clofarabine,123318-82-1,B05,L1021-01,303.68,DMSO,C10H11ClFN5O3,C1=NC2=C(N1C3C(C(C(O3)CO)O)F)N=C(N=C2N)Cl,insoluble in H2O; insoluble in EtOH; ≥15.18 mg/mL in DMSO ,Free Base,DNA Damage/DNA Repair,DNA Synthesis,"Antimetabolite,inhibit DNA polymerase and ribonucleotide reductase",https://www.apexbt.com/search.php?catalog=A1412
A1425,Losartan Potassium (DuP 753),124750-99-8,B06,L1021-01,461,DMSO,C22H22ClKN6O,ClC1=C(CO)N(C(CCCC)=N1)CC(C=C2)=CC=C2C3=CC=CC=C3C4=N[N-]N=N4.[K+],≥21.35 mg/mL in DMSO; ≥42.9 mg/mL in H2O; ≥47.7 mg/mL in EtOH ,Potassium,Endocrinology and Hormones,RAAS,Angiotensin AT1 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1425
A1428,"Fulvestrant (ICI 182,780)",129453-61-8,B07,L1021-01,606.77,DMSO,C32H47F5O3S,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,≥30.35 mg/mL in DMSO; insoluble in H2O; ≥58.9 mg/mL in EtOH ,Free Base,Endocrinology and Hormones,Estrogen/progestogen Receptor,"Estrogen receptor antagonist,high affinity",https://www.apexbt.com/search.php?catalog=A1428
A1435,CP-945598 HCl,686347-12-6,B08,L1021-01,546.88,DMSO,C25H25Cl2N7O·HCl,CCNC1(CCN(CC1)C2=NC=NC3=C2N=C(N3C4=CC=C(C=C4)Cl)C5=CC=CC=C5Cl)C(=O)N.Cl,≥27.35 mg/mL in DMSO with gentle warming; insoluble in H2O; insoluble in EtOH,,GPCR/G protein,Cannabinoid Receptor,"CB1 antagonist,selective and high affinity",https://www.apexbt.com/search.php?catalog=A1435
A1447,Cilnidipine,132203-70-4,B09,L1021-01,492.52,DMSO,C27H28N2O7,CC1=C(C(C(=C(N1)C)C(=O)OCC=CC2=CC=CC=C2)C3=CC(=CC=C3)[N+](=O)[O-])C(=O)OCCOC,≥24.63 mg/mL in DMSO; insoluble in H2O; ≥6.1 mg/mL in EtOH with ultrasonic,Free Base,Membrane Transporter/Ion Channel,Calcium Channel,Blocker of Dual L- and N-type calcium channel,https://www.apexbt.com/search.php?catalog=A1447
A1450,Lidocaine,137-58-6,B10,L1021-01,234.34,DMSO,C14H22N2O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,insoluble in H2O; ≥11.72 mg/mL in DMSO; ≥227.27 mg/mL in EtOH ,Free Base,Neuroscience,Histamine Receptor,Anasthetic and class Ib antiarrhythmic agent,https://www.apexbt.com/search.php?catalog=A1450
A1602,"Dexrazoxane HCl (ICRF-187, ADR-529)",149003-01-0,B11,L1021-01,304.73,DMSO,C11H16N4O4·HCl,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2.Cl,insoluble in EtOH; ≥15.24 mg/mL in DMSO; ≥16 mg/mL in H2O ,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,"Topoisomerase II inhibitor,intracellular ion chelator,cardioprotective agent",https://www.apexbt.com/search.php?catalog=A1602
A1607,Prasugrel,150322-43-3,C01,L1021-01,373.44,DMSO,C20H20FNO3S,CC(=O)OC1=CC2=C(S1)CCN(C2)C(C3=CC=CC=C3F)C(=O)C4CC4,insoluble in H2O; insoluble in EtOH; ≥6.22 mg/mL in DMSO ,Free Base,Neuroscience,P2 Receptor,ADP receptor inhibitor,https://www.apexbt.com/search.php?catalog=A1607
A1630,"Epothilone B (EPO906, Patupilone)",152044-54-7,C02,L1021-01,507.68,DMSO,C27H41NO6S,CC1CCCC2(C(O2)CC(OC(=O)CC(C(C(=O)C(C1O)C)(C)C)O)C(=CC3=CSC(=N3)C)C)C,≥25.4 mg/mL in DMSO; insoluble in H2O; ≥12.44 mg/mL in EtOH ,Free Base,Cell Cycle/Checkpoint,Microtubule/Tubulin,Microtubule stabilizing macrolide,https://www.apexbt.com/search.php?catalog=A1630
A1652,Dimesna,16208-51-8,C03,L1021-01,326.34,DMSO,C4H8Na2O6S4,C(CS(=O)(=O)[O-])SSCCS(=O)(=O)[O-].[Na+].[Na+],insoluble in EtOH; ≥16.35 mg/mL in DMSO; ≥58.6 mg/mL in H2O ,,Others,Others,Uroprotective agent,https://www.apexbt.com/search.php?catalog=A1652
A1659,Dutasteride,164656-23-9,C04,L1021-01,528.53,DMSO,C27H30F6N2O2,CC12CCC3C(C1CCC2C(=O)NC4=C(C=CC(=C4)C(F)(F)F)C(F)(F)F)CCC5C3(C=CC(=O)N5)C,≥26.43 mg/mL in DMSO; insoluble in EtOH; ≥13.75 mg/mL in H2O with ultrasonic,Free Base,Endocrinology and Hormones,5-alpha Reductase,5-alpha-reductase inhibitor,https://www.apexbt.com/search.php?catalog=A1659
A1664,Celecoxib,169590-42-5,C05,L1021-01,381.37,DMSO,C17H14F3N3O2S,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,insoluble in H2O; ≥16.8 mg/mL in EtOH; ≥19.07 mg/mL in DMSO ,Free Base,Neuroscience,COX,Selective cyclooxygenase-2 (COX-2) inhibitor,https://www.apexbt.com/search.php?catalog=A1664
A1670,Enzastaurin (LY317615),170364-57-5,C06,L1021-01,515.61,DMSO,C32H29N5O2,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=CC=CC=C54)C6CCN(CC6)CC7=CC=CC=N7,insoluble in EtOH; insoluble in H2O; ≥8.59 mg/mL in DMSO ,Free Base,TGF-_ / Smad Signaling,PKC,"PKC beta inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1670
A1684,Aprepitant,170729-80-3,C07,L1021-01,534.43,DMSO,C23H21F7N4O3,CC(C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)OC2C(N(CCO2)CC3=NC(=O)NN3)C4=CC=C(C=C4)F,≥26.72 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Neuroscience,Substance P/NK1 Receptor,Substance P (SP) inhibitor,https://www.apexbt.com/search.php?catalog=A1684
A1718,Posaconazole,171228-49-2,C08,L1021-01,700.78,DMSO,C37H42F2N8O4,CCC(C(C)O)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5CC(OC5)(CN6C=NC=N6)C7=C(C=C(C=C7)F)F,≥35.04 mg/mL in DMSO; insoluble in H2O; ≥2.55 mg/mL in EtOH with ultrasonic,Free Base,Metabolism,C14_ demethylase,Sterol C14_ demethylase inhibitor,https://www.apexbt.com/search.php?catalog=A1718
A1720,"Duvelisib (IPI-145, INK1197)",1201438-56-3,C09,L1021-01,416.86,DMSO,C22H17ClN6O,O=C1N(C([[C@H](C)NC2=C3N=CNC3=NC=N2)=CC4=C1C(Cl)=CC=C4)C5=CC=CC=C5,≥20.84 mg/mL in DMSO; insoluble in H2O; ≥24.9 mg/mL in EtOH ,Free Base,PI3K/Akt/mTOR Signaling,PI3K,PI3K-_/PI3K-_ inhibitor,https://www.apexbt.com/search.php?catalog=A1720
A1723,"Roscovitine (Seliciclib,CYC202)",186692-46-6,C10,L1021-01,354.45,DMSO,C19H26N6O,CCC(CO)NC1=NC2=C(C(=N1)NCC3=CC=CC=C3)N=CN2C(C)C,insoluble in H2O; ≥17.72 mg/mL in DMSO; ≥53.5 mg/mL in EtOH ,Free Base,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,"CDK inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1723
A1736,PA-824,187235-37-6,C11,L1021-01,359.26,DMSO,C14H12F3N3O5,C1C(COC2=NC(=CN21)[N+](=O)[O-])OCC3=CC=C(C=C3)OC(F)(F)F,insoluble in EtOH; insoluble in H2O; ≥17.85 mg/mL in DMSO ,,Others,Others,,https://www.apexbt.com/search.php?catalog=A1736
A1745,Galanthamine HBr,1953-04-4,D01,L1021-01,368.27,DMSO,C17H21NO3·HBr,COC1=CC=C2C3=C1O[[C@H]4([H])[[C@H]3(C=C[[C@H](O)C4)CCN(C)C2.Br,insoluble in ETOH; ≥36.9 mg/mL in H2O with gentle warming and ultrasonic; ≥4.60 mg/mL in DMSO ,Hydrobromide,Neuroscience,AChR,Acetylcholinesterase inhibitor,https://www.apexbt.com/search.php?catalog=A1745
A1748,Ramelteon,196597-26-9,D02,L1021-01,259.34,DMSO,C16H21NO2,CCC(=O)NCCC1CCC2=C1C3=C(C=C2)OCC3,insoluble in H2O; ≥12.95 mg/mL in DMSO; ≥54.9 mg/mL in EtOH ,Free Base,GPCR/G protein,MT Receptor,"Agonist of melatonin receptor(M1-M2),highly selective",https://www.apexbt.com/search.php?catalog=A1748
A1755,Tenofovir Disoproxil Fumarate,202138-50-9,D03,L1021-01,635.51,DMSO,C19H30N5O10P·C4H4O4,CC(C)OC(=O)OCOP(=O)(COC(C)CN1C=NC2=C1N=CN=C2N)OCOC(=O)OC(C)C.C(=CC(=O)O)C(=O)O,≥31.78 mg/mL in DMSO; ≥2.615 mg/mL in H2O with gentle warming and ultrasonic; ≥8.48 mg/mL in EtOH with ultrasonic,Fumarate,Microbiology & Virology,Reverse Transcriptase,Antiretroviral agent( HIV-1 RT inhibitor),https://www.apexbt.com/search.php?catalog=A1755
A1765,Vincristine sulfate,2068-78-2,D04,L1021-01,923.04,DMSO,C46H58N4O14S,O[[C@H]1(CC)CN(CC2)C[[C@H@](C1)([H])C[[C@H](C(OC)=O)(C3=C(OC)C=C(N(C=O)[[C@H]4([H])[[C@H@]56C7[[C@H](C=CCN7CC6)(CC)C(OC(C)=O)[[C@H@]4(C(OC)=O)O)C5=C3)C8=C2C9=CC=CC=C9N8.OS(O)(=O)=O,≥46.15 mg/mL in DMSO; ≥57 mg/mL in EtOH; ≥58.5 mg/mL in H2O ,Sulfate,Cell Cycle/Checkpoint,Microtubule/Tubulin,"Microtubule disrupter,antitumor agent",https://www.apexbt.com/search.php?catalog=A1765
A1767,Entecavir Hydrate,209216-23-9,D05,L1021-01,295.29,DMSO,C12H15N5O3·H2O,C=C1C(CC(C1CO)O)N2C=NC3=C2NC(=NC3=O)N.O,insoluble in EtOH; insoluble in H2O; ≥9.7 mg/mL in DMSO ,Hydrate,Microbiology & Virology,Reverse Transcriptase,Antiviral drug used in hepatitis B infection,https://www.apexbt.com/search.php?catalog=A1767
A1778,Vatalanib (PTK787) 2HCl,212141-51-0,D06,L1021-01,419.73,DMSO,C20H15ClN4·2HCl,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.Cl.Cl,≥21 mg/mL in DMSO; ≥24.5 mg/mL in H2O; ≥3.41 mg/mL in EtOH with ultrasonic,Dihydrochloride,Tyrosine Kinase,VEGFR,Tyrosine kinase receptor inhibitor,https://www.apexbt.com/search.php?catalog=A1778
A1794,LY2835219,1231930-82-7,D07,L1021-01,602.7,DMSO,C27H32F2N8·CH4O3S,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F.CS(=O)(=O)O,≥30.15 mg/mL in DMSO; ≥55.2 mg/mL in H2O; ≥6.61 mg/mL in EtOH with ultrasonic,Mesylate,Cell Cycle/Checkpoint,Cyclin-Dependent Kinases,"CDK4/6 inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A1794
A1796,Mianserin HCl,21535-47-7,D08,L1021-01,300.83,DMSO,C18H20N2·HCl,CN1CC2C3=C(C=CC=C3)CC4=C(C=CC=C4)N2CC1.Cl,≥15.04 mg/mL in DMSO; ≥2.71 mg/mL in H2O with gentle warming and ultrasonic; ≥8.23 mg/mL in EtOH with ultrasonic,Hydrochloride,Neuroscience,Histamine Receptor,5-HT2 receptor antagonist,https://www.apexbt.com/search.php?catalog=A1796
A1805,Imatinib Mesylate (STI571),220127-57-1,D09,L1021-01,589.71,DMSO,C29H31N7O·CH4SO3,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5.CS(=O)(=O)O,≥29.5 mg/mL in DMSO; ≥2.84 mg/mL in EtOH with gentle warming and ultrasonic; ≥49.9 mg/mL in H2O ,Mesylate,TGF-_ / Smad Signaling,Bcr-Abl,Abl/c-kit/PDGFR inhibitor,https://www.apexbt.com/search.php?catalog=A1805
A1832,Doxorubicin (Adriamycin) HCl,25316-40-9,D10,L1021-01,579.98,DMSO,C27H29NO11·HCl,CC1C(C(CC(O1)OC2CC(CC3=C(C4=C(C(=C23)O)C(=O)C5=C(C4=O)C=CC=C5OC)O)(C(=O)CO)O)N)O.Cl,≥29 mg/mL in DMSO; ≥57.2 mg/mL in H2O; insoluble in EtOH,Hydrochloride,DNA Damage/DNA Repair,Topoisomerase,"Antitumour antibiotic,inhibits TOPO II.",https://www.apexbt.com/search.php?catalog=A1832
A1835,Pelitinib (EKB-569),257933-82-7,D11,L1021-01,467.92,DMSO,C24H23ClFN5O2,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)C=CCN(C)C,insoluble in EtOH; insoluble in H2O; ≥11.7 mg/mL in DMSO ,Free Base,JAK/STAT Signaling,EGFR,"EGFR inhibitor,potent and irreversible",https://www.apexbt.com/search.php?catalog=A1835
A1855,Bumetanide,28395-03-1,E01,L1021-01,364.42,DMSO,C17H20N2O5S,CCCCNC1=C(C(=CC(=C1)C(=O)O)S(=O)(=O)N)OC2=CC=CC=C2,insoluble in H2O; ≥18.22 mg/mL in DMSO; ≥4.04 mg/mL in EtOH ,Free Base,Membrane Transporter/Ion Channel,NKCC,NKCC cotransporter inhibitor,https://www.apexbt.com/search.php?catalog=A1855
A1882,Cediranib (AZD217),288383-20-0,E02,L1021-01,450.51,DMSO,C25H27FN4O3,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,≥22.52 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,Tyrosine Kinase,VEGFR,"VEGFR inhibitor receptor,highly potent",https://www.apexbt.com/search.php?catalog=A1882
A1903,E 64d,88321-09-9,E03,L1021-01,342.43,DMSO,C17H30N2O5,CCOC(=O)C1C(O1)C(=O)NC(CC(C)C)C(=O)NCCC(C)C,insoluble in H2O; ≥17.12 mg/mL in DMSO; ≥18.5 mg/mL in EtOH ,Free Base,Proteases,Cathepsin,Cysteine protease inhibitor,https://www.apexbt.com/search.php?catalog=A1903
A1906,"Decitabine (NSC127716, 5AZA-CdR)",2353-33-5,E04,L1021-01,228.08,DMSO,C8H12N4O4,C1C(C(OC1N2C=NC(=NC2=O)N)CO)O,insoluble in EtOH; ≥11.4 mg/mL in DMSO; ≥23.3 mg/mL in H2O with gentle warming,Free Base,Chromatin/Epigenetics,DNA Methyltransferase,Deoxycytidine analog and cellular diifferentiation inducer,https://www.apexbt.com/search.php?catalog=A1906
A1907,5-Azacytidine,320-67-2,E05,L1021-01,244.2,DMSO,C8H12N4O5,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,insoluble in EtOH; ≥12.21 mg/mL in DMSO; ≥13.55 mg/mL in H2O with ultrasonic,Free Base,Chromatin/Epigenetics,DNA Methyltransferase,DNA methyltransferase inhibitor.,https://www.apexbt.com/search.php?catalog=A1907
A1929,Macitentan,441798-33-0,E06,L1021-01,588.27,DMSO,C19H20Br2N6O4S,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,≥24.4 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,GPCR/G protein,Endothelin Receptor,Endothelin (ET)(A) and ET(B) receptor antagonist,https://www.apexbt.com/search.php?catalog=A1929
A1932,(-)-Huperzine A,102518-79-6,E07,L1021-01,242.3,DMSO,C15H18N2O,C/C=C1[[C@H@]2(N)C3=C(NC(C=C3)=O)C[[C@H]/1([H])C=C(C)C2,insoluble in H2O; ≥12.12 mg/mL in DMSO; ≥23.13 mg/mL in EtOH ,,Neuroscience,Alzheimer,NMDA receptor antagonist/AChE inhibitor,https://www.apexbt.com/search.php?catalog=A1932
A1933,Carfilzomib (PR-171),868540-17-4,E08,L1021-01,719.91,DMSO,C40H57N5O7,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4,≥35.99 mg/mL in DMSO; insoluble in H2O; ≥2.64 mg/mL in EtOH with gentle warming and ultrasonic,Free Base,Ubiquitination/Proteasome,Proteasome,"Proteasome inhibitor,epoxomicin analog",https://www.apexbt.com/search.php?catalog=A1933
A1958,Etomidate,33125-97-2,E09,L1021-01,244.29,DMSO,C14H16N2O2,CCOC(=O)C1=CN=CN1C(C)C2=CC=CC=C2,insoluble in H2O; ≥12.212 mg/mL in DMSO; ≥16.87 mg/mL in EtOH ,Free Base,Neuroscience,GABA Receptor,General anesthetic with GABA modulatory and GABA-mimetic actions,https://www.apexbt.com/search.php?catalog=A1958
A1971,Etoposide,33419-42-0,E10,L1021-01,588.56,DMSO,C29H32O13,CC1OCC2C(O1)C(C(C(O2)OC3C4COC(=O)C4C(C5=CC6=C(C=C35)OCO6)C7=CC(=C(C(=C7)OC)O)OC)O)O,≥29.45 mg/mL in DMSO; insoluble in H2O; insoluble in EtOH,Free Base,DNA Damage/DNA Repair,Topoisomerase,Topo II inhibitor,https://www.apexbt.com/search.php?catalog=A1971
A1984,Bendamustine HCl,3543-75-7,E11,L1021-01,394.72,DMSO,C16H21Cl2N3O2·HCl,CN1C2=C(C=C(C=C2)N(CCCl)CCCl)N=C1CCCC(=O)O.Cl,insoluble in H2O; ≥10.4 mg/mL in EtOH; ≥19.74 mg/mL in DMSO ,Hydrochloride,Apoptosis,Apoptosis Inducers,Cytostatic agent for non-Hodgkin lymphomas,https://www.apexbt.com/search.php?catalog=A1984
A2025,Plerixafor (AMD3100),110078-46-1,F01,L1021-01,502.78,EtOH,C28H54N8,C1CNCCNCCCN(CCNC1)CC2=CC=C(C=C2)CN3CCCNCCNCCCNCC3,≥25.14 mg/mL in EtOH; insoluble in DMSO; ≥2.9 mg/mL in H2O with gentle warming,Free Base,GPCR/G protein,CXCR,CXCR4 chemokine receptor antagonist,https://www.apexbt.com/search.php?catalog=A2025
A2036,Doripenem Hydrate,364622-82-2,F02,L1021-01,438.52,DMSO,C15H24N4O6S2·H2O,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)CNS(=O)(=O)N)C(=O)O)C(C)O.O,insoluble in EtOH; ≥10.96 mg/mL in DMSO; ≥9.4 mg/mL in H2O ,Free Base,Microbiology & Virology,Antibiotic,"Injectable antibiotic,ultra-broad spectrum",https://www.apexbt.com/search.php?catalog=A2036
A2097,Ifosfamide,3778-73-2,F03,L1021-01,261.09,DMSO,C7H15Cl2N2O2P,C1CN(P(=O)(OC1)NCCCl)CCCl,≥13.05 mg/mL in DMSO; ≥22 mg/mL in H2O; ≥61.5 mg/mL in EtOH,Free Base,DNA Damage/DNA Repair,DNA Synthesis,Cytostatic agent,https://www.apexbt.com/search.php?catalog=A2097
A2133,Saracatinib (AZD0530),379231-04-6,F04,L1021-01,542.03,DMSO,C27H32ClN5O5,CN1CCN(CC1)CCOC2=CC(=C3C(=C2)N=CN=C3NC4=C(C=CC5=C4OCO5)Cl)OC6CCOCC6,≥27.1 mg/mL in DMSO; insoluble in EtOH; ≥2.36 mg/mL in H2O with ultrasonic,Free Base,TGF-_ / Smad Signaling,Bcr-Abl,"Src/Abl inhibitor,potent and selective",https://www.apexbt.com/search.php?catalog=A2133
A2149,Bosutinib (SKI-606),380843-75-4,F05,L1021-01,530.45,DMSO,C26H29Cl2N5O3,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,≥26.5 mg/mL in DMSO; insoluble in H2O; ≥2.16 mg/mL in EtOH with ultrasonic,Free Base,TGF-_ / Smad Signaling,Bcr-Abl,Potent Abl/Src kinases,https://www.apexbt.com/search.php?catalog=A2149
A2168,"Dovitinib (TKI-258, CHIR-258)",405169-16-6,F06,L1021-01,392.43,DMSO,C21H21FN6O,CN1CCN(CC1)C2=CC3=C(C=C2)NC(=C4C(=C5C(=NC4=O)C=CC=C5F)N)N3,insoluble in H2O; insoluble in EtOH; ≥36.35 mg/mL in DMSO ,,Tyrosine Kinase,FGFR,Multitargeted RTK inhibitor,https://www.apexbt.com/search.php?catalog=A2168
